ID, Band, BW, FREQ, CHN, Mode, RBO, RBS, UE, Peak Pwr,FE, EAO, EAI,MPR
253,LTE41W,5MHz,0,41490,QPSK,1,12,21.51884,25.10155,-17.72109,1,1,
254,LTE41W,5MHz,0,41490,QPSK,1,24,21.4443,25.07284,-10.64965,1,1,
255,LTE41W,5MHz,0,41490,QPSK,12,0,21.67443,26.75851,-14.58419,1,1,
256,LTE41W,5MHz,0,41490,QPSK,12,6,21.65724,26.72788,-9.299791,1,1,
257,LTE41W,5MHz,0,41490,QPSK,12,11,21.63732,26.74822,-11.51919,1,1,
258,LTE41W,5MHz,0,41490,QPSK,25,0,21.68614,27.21643,-12.7751,1,1,
259,LTE41W,5MHz,0,41490,16QAM,1,0,21.55128,27.2263,-12.28335,1,1,
260,LTE41W,5MHz,0,41490,16QAM,1,12,21.4878,27.10154,-10.21425,1,1,
261,LTE41W,5MHz,0,41490,16QAM,1,24,21.44418,27.1063,-8.315433,1,1,
262,LTE41W,5MHz,0,41490,16QAM,12,0,21.69359,27.66961,-10.81366,1,1,
263,LTE41W,5MHz,0,41490,16QAM,12,6,21.70527,27.57943,-17.87339,1,1,
264,LTE41W,5MHz,0,41490,16QAM,12,11,21.6867,27.57619,-14.64622,1,1,
265,LTE41W,5MHz,0,41490,16QAM,25,0,21.65667,27.96072,-11.00097,1,1,
